1. What is a VPC used for in AWS?,Managing databases;Launching a serverless function;Creating a logically isolated network;Distributing content,Creating a logically isolated network
2. Which AWS service resolves domain names to IP addresses?,AWS CloudFront;Amazon Route 53;AWS Lambda;Amazon VPC,Amazon Route 53
3. What is the maximum size of an IPv4 CIDR block in a VPC?,/16;/24;/32;/28,/16
4. Which component is **not** required to launch an EC2 instance?,AMI;Security Group;Instance Type;IAM User,IAM User
5. What type of load balancer should be used for handling HTTPS traffic?,Classic Load Balancer;Network Load Balancer;Application Load Balancer;Elastic Load Balancer,Application Load Balancer
6. Which service automatically scales EC2 instances based on demand?,Amazon S3;AWS Lambda;Elastic Load Balancing;Amazon EC2 Auto Scaling,Amazon EC2 Auto Scaling
7. What is Amazon CloudWatch primarily used for?,Storing data;Scaling resources;Monitoring AWS resources;Distributing traffic,Monitoring AWS resources
8. Which of the following does **not** provide monitoring capabilities?,Amazon CloudWatch;AWS Trusted Advisor;AWS CloudTrail;AWS Direct Connect,AWS Direct Connect
9. Which storage option is designed for long-term&c low-cost data archiving?,Amazon S3 Standard;Amazon Glacier;Amazon EFS;Amazon EBS,Amazon Glacier
10. What type of storage is provided by Amazon EBS?,File storage;Object storage;Block storage;Tape storage,Block storage
11. Which AWS service is optimized for low-latency access to frequently accessed data?,Amazon S3 Glacier;Amazon EFS;Amazon DynamoDB;Amazon CloudFront,Amazon CloudFront
12. How does Amazon CloudFront improve latency?,Caching content closer to users;Using S3 for storage;Encrypting all data;Reducing VPC sizes,Caching content closer to users
13. Which of the following is **not** a feature of Amazon CloudFront?,Improved latency;SSL/TLS support;Data warehousing;Global edge locations,Data warehousing
14. What AWS service supports data warehousing for large datasets?,Amazon RDS;Amazon DynamoDB;Amazon S3;Amazon Redshift,Amazon Redshift
15. Which Amazon S3 storage class is suitable for infrequent access but needs immediate retrieval?,S3 Glacier;S3 Intelligent-Tiering;S3 Standard-IA;S3 Deep Archive,S3 Standard-IA
16. Which database is best for mobile and web applications requiring low-latency reads and writes?,Amazon Redshift;Amazon DynamoDB;Amazon RDS;Amazon Aurora,Amazon DynamoDB
17. Which AWS tool assists in designing secure&c resilient cloud architectures?,AWS CloudWatch;AWS Trusted Advisor;AWS Config;AWS Well-Architected Tool,AWS Well-Architected Tool
18. Which scaling option enables EC2 instances to launch at specific times?,Dynamic scaling;Scheduled scaling;Manual scaling;Predictive scaling,Scheduled scaling
19. What service would you use to collect and track custom metrics in AWS?,AWS CloudTrail;AWS Lambda;Amazon CloudWatch;Amazon Route 53,Amazon CloudWatch
20. Which of these is **not** a type of load balancer in AWS?,Application Load Balancer;Network Load Balancer;Classic Load Balancer;Container Load Balancer,Container Load Balancer
21. What is the primary advantage of Amazon RDS over a traditional on-premises database?,Requires more hardware;Is less scalable;Requires no manual database management;Has higher latency,Requires no manual database management
22. Which Amazon S3 feature moves data automatically between storage classes based on policies?,Versioning;Lifecycle policies;Replication;Encryption,Lifecycle policies
23. What is Amazon DynamoDB optimized for?,SQL queries;Complex transactions;Key-value access;Relational data,Key-value access
24. Which AWS database service supports multiple availability zones for automatic failover?,Amazon Redshift;Amazon DynamoDB;Amazon RDS;Amazon Aurora,Amazon RDS
25. Which Amazon CloudWatch feature triggers actions based on a threshold being exceeded?,AWS CloudTrail;Logs;Events;Alarms,Alarms
26. Which AWS storage service supports file system storage and file sharing?,Amazon S3;Amazon EBS;Amazon EFS;Amazon Glacier,Amazon EFS
