M1-1. Why is AWS more economical than traditional data centers for applications with varying compute workloads?,Customers retain full administrative access to their Amazon EC2 instances;Amazon EC2 instances can be launched on-demand when needed;Amazon EC2 costs are billed monthly;Customers can permanently run enough instances to handle peak workloads,Amazon EC2 instances can be launched on-demand when needed
M1-2. What is the primary benefit of cloud computing?,Increased security;On-demand IT resources;More complex infrastructure;Higher latency,On-demand IT resources
M1-3. Which service model provides the most control over IT resources?,SaaS;IaaS;PaaS;DaaS,IaaS
M1-4. What is the advantage of Platform as a Service (PaaS)?,More control over infrastructure;Simplified application management;Automatic security patches;Access to hardware,Simplified application management
M1-5. What does AWS Cloud Adoption Framework (CAF) help with?,Networking;Cloud security;Cloud adoption strategy;Data storage,Cloud adoption strategy
M1-6. What is the definition of cloud computing?,Remote server access;On-demand delivery of IT resources&c pay-as-you-go pricing;Data storage management;Network optimization,On-demand delivery of IT resources&c pay-as-you-go pricing
M1-7. What are the three cloud deployment models?,Hybrid&c Cloud&c On-premises;Edge&c Cloud&c Security;Public&c Security&c Private;Cloud&c Container&c SaaS,Hybrid&c Cloud&c On-premises
M1-8. Which of these is an example of IaaS?,Amazon EC2;AWS Lambda;Amazon S3;Amazon RDS,Amazon EC2
M1-9. How does cloud computing improve infrastructure management?,Increases hardware requirements;Lowers maintenance costs;Adds complexity;Requires more personnel,Lowers maintenance costs
M1-10. What is one key feature of the traditional computing model?,Elastic scaling;Hardware-based infrastructure;Multi-tenant access;On-demand pricing,Hardware-based infrastructure
M1-11. What are the three main categories of cloud service models?,SaaS&c PaaS&c IaaS;Database&c Compute&c Networking;Development&c Infrastructure&c Compliance;Software&c Storage&c Analytics,SaaS&c PaaS&c IaaS
M1-12. What type of cloud deployment model combines on-premises infrastructure with cloud services?,Hybrid;Edge;Cloud;Private cloud,Hybrid
M1-13. Which of these cloud service models abstracts infrastructure to focus on code?,SaaS;IaaS;PaaS;EC2,PaaS
M1-14. What is a primary benefit of the AWS Cloud Adoption Framework?,Scalability;Cost management;Strategic alignment;Database security,Strategic alignment
M1-15. Which type of cloud computing model allows full control over hardware?,IaaS;On-premises;Hybrid;SaaS,On-premises
M1-16. Which framework does AWS provide to assist with cloud migration?,AWS S3;AWS CAF;AWS EC2;AWS Lambda,AWS CAF
M2-1. What is the primary advantage of AWS's pay-as-you-go pricing?,Low cost for large businesses;More predictable costs;No upfront expense;More hardware control,No upfront expense
M2-2. Which pricing model offers the biggest savings for long-term use?,On-Demand;Spot Instances;Reserved Instances;Free Tier,Reserved Instances
M2-3. Which type of discount increases as usage increases?,Volume-based;Reserved instance;Free Tier;Usage-based,Volume-based
M2-4. Which tool helps users estimate their AWS costs?,AWS Lambda;AWS CloudWatch;AWS Pricing Calculator;AWS IAM,AWS Pricing Calculator
